;;Resultados 2017;;;;;diff;changes from 2013;Previsoes;;;;
;Municipios;BE;CDS.PP;PCP.PEV;PPD.PSD;PS;;none;BE;CDS.PP;PCP.PEV;PPD.PSD;PS
231;Rio Maior;3;4;2;4;1;none;PCP.PEV : { BE };1;NA;-1;NA;-1
232;Salvaterra de Magos;2;4;3;4;1;PCP.PEV : { BE };none;1;NA;-1;NA;-1
233;Santarem;5;4;3;1;2;none;none;1;NA;NA;-1;-1
234;Alter do Chí¢ŒóŒæo;3;4;2;4;1;none;none;1;NA;-1;NA;-1
235;Arronches;4;4;3;1;2;none;none;1;1;NA;NA;-1
236;Avis;4;4;1;3;2;none;none;1;NA;-1;NA;-1
237;Campo Maior;3;4;2;4;1;none;none;1;NA;-1;NA;-1
238;Castelo de Vide;5;4;3;1;2;none;none;1;NA;-1;NA;-1
239;Crato;5;4;3;2;1;none;none;1;NA;-1;NA;-1
240;Elvas;5;2;4;3;1;none;none;1;NA;-1;NA;-1
241;Fronteira;4;4;3;1;2;none;none;1;NA;-1;NA;-1
242;Gaviao;3;3;2;3;1;none;none;1;NA;-1;NA;-1
243;Marvao;4;4;3;1;2;none;none;1;NA;1;NA;-1
244;Monforte;4;4;1;3;2;none;none;1;NA;-1;NA;-1
245;Nisa;3;3;2;3;1;none;none;1;NA;-1;NA;-1
246;Ponte de Sor;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
247;Portalegre;5;4;2;3;1;none;none;1;NA;-1;NA;-1
248;Sousel;4;5;3;2;1;none;none;1;NA;-1;NA;-1
249;Alandroal;5;4;2;3;1;none;none;1;NA;-1;NA;-1
250;Arraiolos;4;5;1;3;2;none;none;1;NA;-1;NA;-1
251;Borba;4;5;3;2;1;none;none;1;NA;-1;NA;-1
252;Estremoz;3;3;2;3;1;none;none;1;1;NA;NA;-1
253;Evora;4;5;1;3;2;none;none;1;NA;NA;-1;-1
254;Montemor-o-Novo;5;3;1;4;2;none;none;1;NA;-1;NA;-1
255;Mora;4;4;1;3;2;none;none;1;NA;-1;NA;-1
256;Mourao;4;4;3;2;1;none;none;1;NA;-1;NA;-1
257;Portel;3;3;2;3;1;none;none;1;1;-1;NA;NA
258;Redondo;3;3;1;3;2;none;none;1;NA;-1;NA;-1
259;Reguengos de Monsaraz;5;4;3;2;1;none;none;1;NA;-1;NA;-1
260;Vendas Novas;4;4;2;3;1;none;none;1;NA;-1;NA;-1
261;Viana do Alentejo;4;4;2;3;1;none;none;1;NA;-1;NA;-1
262;Vila Vií‰Œçosa;3;3;1;3;2;none;none;1;NA;-1;NA;-1
263;Albufeira;3;5;4;1;2;none;none;NA;1;NA;-1;1
264;Alcoutim;3;3;2;3;1;none;none;1;NA;-1;NA;-1
265;Aljezur;3;3;2;3;1;none;none;1;NA;-1;NA;-1
266;Castro Marim;3;3;2;3;1;none;none;1;NA;-1;NA;-1
267;Faro;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
268;Lagoa;3;5;4;2;1;none;none;1;NA;NA;-1;-1
269;Lagos;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
270;Loul_;3;4;2;4;1;none;none;1;NA;-1;NA;-1
271;Monchique;4;4;3;1;2;none;none;1;NA;-1;NA;-1
272;Olhao;2;4;3;4;1;PCP.PEV : { BE };PCP.PEV : { BE };1;1;-1;NA;-1
273;Portimao;2;4;3;4;1;PCP.PEV : { BE };none;1;NA;-1;NA;-1
274;Sao Brí†ŒÊs de Alportel;3;3;2;3;1;none;none;1;NA;-1;NA;-1
275;Silves;4;5;1;2;3;none;none;1;NA;-1;NA;-1
276;Tavira;3;5;4;2;1;PCP.PEV : { BE };none;1;NA;-1;NA;-1
277;Vila do Bispo;2;4;3;4;1;none;none;1;NA;1;NA;-1
278;Vila Real de Santo Antonio;4;5;3;1;2;none;none;1;NA;NA;-1;-1
279;Vila do Porto;3;4;4;1;2;none;none;1;NA;1;-1;NA
280;Lagoa [R.A.A.];4;4;3;2;1;none;none;1;NA;1;-1;NA
281;Nordeste;4;4;3;1;2;none;none;1;NA;NA;-1;-1
282;Ponta Delgada;3;5;4;1;2;none;none;1;NA;1;-1;NA
283;Povoaí‰Œçí¢ŒóŒæo;4;4;3;2;1;none;none;1;NA;1;-1;NA
284;Ribeira Grande;3;5;4;1;2;none;none;1;NA;1;-1;NA
285;Vila Franca do Campo;4;4;3;2;1;none;none;1;NA;1;NA;-1
286;Angra do Heroí€Œçsmo;4;3;5;2;1;none;none;1;NA;1;-1;NA
287;Vila da Praia da Vití¢ŒóŒ_ria;4;3;5;2;1;none;none;1;NA;1;-1;NA
288;Santa Cruz da Graciosa;3;3;3;2;1;none;none;1;NA;1;-1;NA
289;Calheta [R.A.A.];3;4;2;1;4;none;none;1;NA;1;-1;NA
290;Velas;5;1;4;3;2;none;none;1;NA;NA;-1;-1
291;Lajes do Pico;3;3;2;3;1;PPD.PSD : { PCP.PEV };none;1;NA;1;-1;NA
292;Madalena;4;4;3;1;2;none;none;1;NA;NA;-1;-1
293;Sí¢ŒóŒæo Roque do Pico;3;3;3;2;1;none;none;1;NA;1;-1;NA
294;Horta;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
295;Lajes das Flores;3;3;3;2;1;none;none;1;NA;NA;-1;-1
296;Santa Cruz das Flores;4;4;2;3;1;PPD.PSD : { PCP.PEV };none;1;NA;1;-1;NA
297;Corvo;3;3;3;2;1;none;none;1;NA;1;-1;NA
298;Calheta [R.A.M.];5;2;4;1;3;none;PS : { PCP.PEV };1;NA;1;-1;NA
299;CíƒŒæmara de Lobos;5;3;4;1;2;none;none;1;NA;1;NA;-1
300;Funchal;4;2;3;1;4;none;none;1;NA;1;-1;NA
301;Machico;4;3;5;2;1;PCP.PEV : { BE };none;1;NA;-1;NA;-1
302;Ponta do Sol;4;3;5;2;1;none;none;1;NA;1;-1;NA
303;Porto Moniz;4;4;3;2;1;none;none;1;NA;-1;NA;-1
304;Ribeira Brava;4;5;3;1;2;none;none;1;NA;-1;NA;-1
305;Santa Cruz;5;3;4;1;2;none;none;1;NA;1;-1;NA
306;Santana;5;1;4;2;3;none;none;1;NA;1;-1;NA
307;Sao Vicente;3;3;2;3;1;PPD.PSD : { PCP.PEV };none;1;NA;1;-1;NA
308;Porto Santo;5;3;4;1;2;none;;1;NA;1;-1;NA
