;;BE;CDS.PP;PCP.PEV;PPD.PSD;PS;changes;BE;CDS.PP;PCP.PEV;PPD.PSD;PS
297;Corvo;3;3;3;2;1;none;1;NA;1;-1;NA
298;Calheta [R.A.M.];5;2;4;1;3;none;1;NA;1;-1;NA
299;CÃ…Â mara de Lobos;4;2;3;1;4;PS : { PCP.PEV };1;NA;1;NA;-1
300;Funchal;4;2;3;1;4;none;1;NA;1;-1;NA
301;Machico;5;3;4;2;1;none;1;NA;-1;NA;-1
302;Ponta do Sol;4;3;5;1;2;none;1;NA;1;-1;NA
303;Porto Moniz;5;3;4;2;1;none;1;NA;-1;NA;-1
304;Ribeira Brava;5;3;4;1;2;none;1;NA;-1;NA;-1
305;Santa Cruz;3;3;2;1;3;none;1;NA;1;-1;NA
306;Santana;5;1;4;2;3;none;1;NA;1;-1;NA
307;Sao Vicente;2;4;3;1;4;none;1;NA;1;-1;NA
308;Porto Santo;5;3;4;2;1;none;1;NA;1;-1;NA
